"id_attempts","word_sent","position_array","right_letters_in_wrong_positions","score","try_datetime","id_game","id_game1","attepmts"
369,"punto","[False, False, False, False, True]","n",0.4,"2022-07-18T01:35:20.021278","62d4b8d71251332fdf164c13",1,1
370,"salvo","[False, False, False, False, True]","a",0.4,"2022-07-18T01:35:20.946007","62d4b8d71251332fdf164c13",1,2
371,"dicho","[False, False, False, False, True]",,0.2,"2022-07-18T01:35:21.896163","62d4b8d71251332fdf164c13",1,3
372,"grano","[True, True, True, True, True]",,1,"2022-07-18T01:35:22.756022","62d4b8d71251332fdf164c13",1,4
373,"reducia","[False, False, False, False, True, True, True]",,0.42857142857142855,"2022-07-18T01:35:25.988566","62d4b8dc1251332fdf164c19",2,1
374,"policia","[False, True, False, True, True, True, True]",,0.7142857142857143,"2022-07-18T01:35:27.002308","62d4b8dc1251332fdf164c19",2,2
375,"noticia","[True, True, True, True, True, True, True]",,1,"2022-07-18T01:35:27.876165","62d4b8dc1251332fdf164c19",2,3
376,"averiguo","[False, False, False, False, True, False, False, False]","a_o",0.125,"2022-07-18T01:35:30.518822","62d4b8e11251332fdf164c1e",3,1
377,"ocasiona","[False, False, False, False, True, False, False, True]","o_a",0.5,"2022-07-18T01:35:31.518764","62d4b8e11251332fdf164c1e",3,2
378,"lokaiata","[True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:35:32.558547","62d4b8e11251332fdf164c1e",3,3
379,"progresivamente","[True, True, True, False, False, True, True, False, False, False, False, False, False, False, False]","r_i_a_t",0.4666666666666667,"2022-07-18T01:35:35.202462","62d4b8e61251332fdf164c23",4,1
380,"protoescrituras","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:35:36.258821","62d4b8e61251332fdf164c23",4,2
381,"cortas","[False, False, False, False, False, False]","o_r_a_s",0.16666666666666666,"2022-07-18T01:35:39.016191","62d4b8ea1251332fdf164c27",5,1
382,"suplir","[True, False, False, False, False, False]","r",0.3333333333333333,"2022-07-18T01:35:39.962265","62d4b8ea1251332fdf164c27",5,2
383,"sangre","[True, True, True, False, True, False]",,0.6666666666666666,"2022-07-18T01:35:40.856189","62d4b8ea1251332fdf164c27",5,3
384,"sandro","[True, True, True, True, True, True]",,1,"2022-07-18T01:35:41.696187","62d4b8ea1251332fdf164c27",5,4
385,"cortas","[False, True, False, True, False, True]",,0.3333333333333333,"2022-07-18T01:35:44.636206","62d4b8ef1251332fdf164c2d",6,1
386,"montes","[False, True, False, True, True, True]",,0.6666666666666666,"2022-07-18T01:35:45.596371","62d4b8ef1251332fdf164c2d",6,2
387,"postes","[True, True, True, True, True, True]",,1,"2022-07-18T01:35:46.501535","62d4b8ef1251332fdf164c2d",6,3
388,"migraciones","[False, False, False, False, False, False, False, False, False, False, False]","m_i_r_a_i",0.2727272727272727,"2022-07-18T01:35:49.662052","62d4b8f41251332fdf164c32",7,1
389,"trivialidad","[False, False, False, False, False, False, True, True, False, True, False]","t_r_i_a",0.36363636363636365,"2022-07-18T01:35:50.698969","62d4b8f41251332fdf164c32",7,2
390,"paramilitar","[True, True, True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:35:51.618996","62d4b8f41251332fdf164c32",7,3
391,"computadores","[False, False, True, False, False, False, True, False, False, False, False, True]","c_o_u_t",0.25,"2022-07-18T01:35:54.382697","62d4b8f91251332fdf164c37",8,1
392,"numismaticos","[True, True, True, True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:35:55.476579","62d4b8f91251332fdf164c37",8,2
393,"reproductivas","[False, True, False, False, False, False, False, False, False, False, False, False, True]","r_r_o_d_a",0.38461538461538464,"2022-07-18T01:35:58.116573","62d4b8fd1251332fdf164c3b",9,1
394,"desarrollados","[True, True, True, True, True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:35:59.178818","62d4b8fd1251332fdf164c3b",9,2
395,"cultivos","[True, False, False, False, True, False, False, False]","l_v",0.25,"2022-07-18T01:36:01.821015","62d4b9001251332fdf164c3f",10,1
396,"cervical","[True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:36:02.781391","62d4b9001251332fdf164c3f",10,2
397,"macedonia","[False, False, False, False, False, False, False, False, False]","a_e_i",0.3333333333333333,"2022-07-18T01:36:05.816371","62d4b9041251332fdf164c43",11,1
398,"equipajes","[True, True, True, True, False, True, False, True, False]",,0.6666666666666666,"2022-07-18T01:36:06.781334","62d4b9041251332fdf164c43",11,2
399,"equivaler","[True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:36:07.722358","62d4b9041251332fdf164c43",11,3
400,"cambio","[False, True, False, False, False, False]","i",0.3333333333333333,"2022-07-18T01:36:10.461225","62d4b9091251332fdf164c48",12,1
401,"hauser","[False, True, False, False, False, False]","r",0.3333333333333333,"2022-07-18T01:36:11.396509","62d4b9091251332fdf164c48",12,2
402,"varian","[True, True, True, True, True, True]",,1,"2022-07-18T01:36:12.279093","62d4b9091251332fdf164c48",12,3
403,"punto","[False, False, True, False, False]",,0.2,"2022-07-18T01:36:14.969395","62d4b90e1251332fdf164c4d",13,1
404,"rinde","[False, True, True, False, False]","e",0.6,"2022-07-18T01:36:15.997058","62d4b90e1251332fdf164c4d",13,2
405,"final","[False, True, True, False, False]","l",0.4,"2022-07-18T01:36:16.841443","62d4b90e1251332fdf164c4d",13,3
406,"lines","[True, True, True, True, True]",,1,"2022-07-18T01:36:17.704954","62d4b90e1251332fdf164c4d",13,4
407,"ciertas","[False, False, False, False, False, False, False]","i_a",0.14285714285714285,"2022-07-18T01:36:20.602214","62d4b9131251332fdf164c53",14,1
408,"almidon","[False, False, False, False, False, False, False]","a_m_i_o_n",0.42857142857142855,"2022-07-18T01:36:21.596416","62d4b9131251332fdf164c53",14,2
409,"imponga","[False, False, False, False, False, False, False]","i_m_o_n_a",0.42857142857142855,"2022-07-18T01:36:22.459113","62d4b9131251332fdf164c53",14,3
410,"qazwini","[False, True, False, False, False, True, True]","z",0.5714285714285714,"2022-07-18T01:36:23.299014","62d4b9131251332fdf164c53",14,4
411,"manzoni","[True, True, True, True, True, True, True]",,1,"2022-07-18T01:36:24.179169","62d4b9131251332fdf164c53",14,5
412,"computadores","[False, False, False, False, False, False, False, False, False, False, False, False]","m_t_a_r_e",0.4166666666666667,"2022-07-18T01:36:26.902254","62d4b91a1251332fdf164c5a",15,1
413,"fertilizante","[False, False, False, False, False, False, False, False, False, True, True, True]","e_r_t_i_l_i_a",0.5833333333333334,"2022-07-18T01:36:27.939700","62d4b91a1251332fdf164c5a",15,2
414,"militarmente","[True, True, True, True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:36:28.896875","62d4b91a1251332fdf164c5a",15,3
